
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C2:22:52:4D:6E:C2, 2023-07-26 12:30:37, 2023-07-26 12:30:47, 11, 180, WPA2, CCMP, PSK, -73,        7,        0,   0.  0.  0.  0,   8, realme 7, 
C4:6E:1F:63:5B:8E, 2023-07-26 12:30:37, 2023-07-26 12:30:46,  1, 270, OPN, ,   , -71,        9,        0,   0.  0.  0.  0,   7, EXG-3-4, 
00:11:74:B9:EC:21, 2023-07-26 12:30:37, 2023-07-26 12:30:46,  1, 195, WPA2, CCMP, MGT, -76,        4,        0,   0.  0.  0.  0,  13, JioPrivateNet, 
00:11:74:B9:EC:20, 2023-07-26 12:30:37, 2023-07-26 12:30:46,  1, 195, OPN, ,   , -77,        7,        0,   0.  0.  0.  0,  10, JioNet@BIT, 
C4:6E:1F:63:3D:12, 2023-07-26 12:30:38, 2023-07-26 12:30:46,  1, 270, WPA2, CCMP, PSK, -44,        9,        0,   0.  0.  0.  0,  14, TP-LINK_633D12, 
C4:6E:1F:63:3A:7C, 2023-07-26 12:30:40, 2023-07-26 12:30:47,  5, 270, OPN, ,   , -70,        9,        0,   0.  0.  0.  0,   5, EXG-8, 
34:0A:33:37:8F:20, 2023-07-26 12:30:40, 2023-07-26 12:30:46,  6, 130, OPN, ,   , -76,        4,        0,   0.  0.  0.  0,   7, EXG-1-2, 
00:11:74:B9:ED:40, 2023-07-26 12:30:40, 2023-07-26 12:30:46,  6, 195, OPN, ,   , -82,        7,        0,   0.  0.  0.  0,  10, JioNet@BIT, 
00:11:74:B9:ED:41, 2023-07-26 12:30:40, 2023-07-26 12:30:46,  6, 195, WPA2, CCMP, MGT, -82,        7,        0,   0.  0.  0.  0,  13, JioPrivateNet, 
00:11:74:B9:F1:40, 2023-07-26 12:30:40, 2023-07-26 12:30:44, 11, 195, OPN, ,   , -85,        3,        0,   0.  0.  0.  0,  10, JioNet@BIT, 
00:11:74:B9:F1:41, 2023-07-26 12:30:40, 2023-07-26 12:30:44, 11, 195, WPA2, CCMP, MGT, -85,        5,        2,   0.  0.  0.  0,  13, JioPrivateNet, 
A0:AB:1B:6E:8D:A0, 2023-07-26 12:30:41, 2023-07-26 12:30:41,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -90,        0,        0,   0.  0.  0.  0,   9, ELX-STAFF, 
C4:6E:1F:63:3B:FE, 2023-07-26 12:30:44, 2023-07-26 12:30:44,  5, 270, WPA2, CCMP TKIP, PSK, -93,        1,        0,   0.  0.  0.  0,   3, TPO, 
C4:A8:1D:93:84:C0, 2023-07-26 12:30:44, 2023-07-26 12:30:44, 11, 130, OPN, ,   , -87,        0,        0,   0.  0.  0.  0,   7, MWSLAB1, 
00:11:74:B9:ED:20, 2023-07-26 12:30:46, 2023-07-26 12:30:46,  1, 195, OPN, ,   , -91,        0,        0,   0.  0.  0.  0,  10, JioNet@BIT, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
2C:6E:85:AC:BF:75, 2023-07-26 12:30:40, 2023-07-26 12:30:44, -79,        4, (not associated) ,EXS2
50:C2:E8:0B:53:19, 2023-07-26 12:30:40, 2023-07-26 12:30:40, -36,        1, C4:6E:1F:63:3A:7C,
92:8B:91:5E:E0:94, 2023-07-26 12:30:40, 2023-07-26 12:30:41,  -1,        2, 00:11:74:B9:F1:41,
C8:94:02:81:CA:5D, 2023-07-26 12:30:41, 2023-07-26 12:30:44, -37,        2, C4:6E:1F:63:3A:7C,EXG-8
AE:41:22:C9:39:17, 2023-07-26 12:30:46, 2023-07-26 12:30:46, -86,        1, (not associated) ,
CA:1D:E8:AE:16:6C, 2023-07-26 12:30:46, 2023-07-26 12:30:46, -86,        1, (not associated) ,
C8:E2:65:CD:F8:DF, 2023-07-26 12:30:47, 2023-07-26 12:30:47, -41,        1, C4:6E:1F:63:3A:7C,

