
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
5E:3E:01:EF:50:98, 2023-08-08 09:26:53, 2023-08-08 09:27:03,  6,  65, WPA2, CCMP, PSK, -50,        2,        5,   0.  0.  0.  0,  11, Samsung m21, 
5A:32:24:D6:01:1E, 2023-08-08 09:26:50, 2023-08-08 09:27:18,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -49,        6,        0,   0.  0.  0.  0,  17, , 
EA:1A:EC:B1:37:C2, 2023-08-08 09:26:53, 2023-08-08 09:27:18,  6, 130, WPA2, CCMP, PSK, -44,       11,        9,   0.  0.  0.  0,  16, , 
EA:48:B8:14:A8:C6, 2023-08-08 09:26:49, 2023-08-08 09:27:16, 10, 130, OPN, ,   , -43,       14,        8,   0.  0.  0.  0,   7, OpenWrt, 
9A:02:42:22:51:19, 2023-08-08 09:26:52, 2023-08-08 09:27:18,  6, 360, WPA3 WPA2, CCMP, SAE PSK, -43,        0,       76,   0.  0.  0.  0,  17, Sampath Kumar Ts , 
06:82:3D:43:47:39, 2023-08-08 09:27:03, 2023-08-08 09:27:10,  1, 360, WPA2 WPA, CCMP, PSK, -43,        0,       10,   0.  0.  0.  0,   5, AMCEC, 
06:82:3D:43:6B:E7, 2023-08-08 09:26:49, 2023-08-08 09:27:18,  1, 360, WPA2 WPA, CCMP, PSK, -42,       18,       54,   0.  0.  0.  0,   5, AMCEC, 
06:82:3D:43:43:C1, 2023-08-08 09:26:49, 2023-08-08 09:27:18,  1, 360, WPA2 WPA, CCMP, PSK, -41,       23,       35,   0.  0.  0.  0,   5, AMCEC, 
3A:81:A4:88:9D:A5, 2023-08-08 09:27:14, 2023-08-08 09:27:18, 11, 180, WPA3 WPA2, CCMP, SAE PSK, -41,        2,        0,   0.  0.  0.  0,  14, POCO M4 Pro 5G, 
06:82:3D:43:65:09, 2023-08-08 09:26:49, 2023-08-08 09:27:14,  1, 360, WPA2 WPA, CCMP, PSK, -37,       14,     2752,   0.  0.  0.  0,   5, AMCEC, 
06:82:3D:43:42:9B, 2023-08-08 09:26:49, 2023-08-08 09:27:18,  1, 360, WPA2 WPA, CCMP, PSK, -28,       15,      116,   0.  0.  0.  0,   5, AMCEC, 
C4:6E:1F:63:3D:12, 2023-08-08 09:26:51, 2023-08-08 09:27:18,  5, 270, WPA2, CCMP, PSK, -27,       23,      822,   0.  0.  0.  0,  14, TP-LINK_633D12, 
AE:CB:B6:F8:AE:69, 2023-08-08 09:26:49, 2023-08-08 09:27:16, 10, 130, OPN, ,   ,  -1,        9,        2,   0.  0.  0.  0,  15, batmesh-network, 
00:25:00:FF:94:73, 2023-08-08 09:26:56, 2023-08-08 09:27:14,  6,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
7E:0D:8B:D6:8A:2E, 2023-08-08 09:27:14, 2023-08-08 09:27:14, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
AC:67:5D:96:B9:5A, 2023-08-08 09:26:49, 2023-08-08 09:27:14, -50,     2636, 06:82:3D:43:65:09,
8A:E0:0F:1E:39:7E, 2023-08-08 09:27:04, 2023-08-08 09:27:04, -47,        1, (not associated) ,
86:58:47:96:74:FD, 2023-08-08 09:26:53, 2023-08-08 09:27:18, -46,       63, EA:1A:EC:B1:37:C2,
B6:3E:0D:CB:25:EE, 2023-08-08 09:27:02, 2023-08-08 09:27:02, -46,        1, (not associated) ,
D6:C4:A0:40:F6:3D, 2023-08-08 09:27:10, 2023-08-08 09:27:10, -46,        1, 00:25:00:FF:94:73,
42:E7:46:70:44:EB, 2023-08-08 09:27:16, 2023-08-08 09:27:16, -46,        3, (not associated) ,
5C:87:9C:28:04:B0, 2023-08-08 09:26:50, 2023-08-08 09:26:50, -45,        1, (not associated) ,
56:AC:19:34:C4:D6, 2023-08-08 09:26:53, 2023-08-08 09:26:53, -45,        1, (not associated) ,
3E:46:20:5B:6A:63, 2023-08-08 09:26:59, 2023-08-08 09:26:59, -45,        2, (not associated) ,
5C:3A:45:D7:E5:7D, 2023-08-08 09:26:56, 2023-08-08 09:27:14, -44,       68, 06:82:3D:43:65:09,
46:B7:5F:7B:1E:29, 2023-08-08 09:26:49, 2023-08-08 09:27:15, -44,        5, (not associated) ,
3C:95:09:86:5F:47, 2023-08-08 09:26:49, 2023-08-08 09:27:18, -44,       11, 06:82:3D:43:42:9B,
BC:6E:E2:24:63:41, 2023-08-08 09:26:53, 2023-08-08 09:27:00, -44,        5, 5E:3E:01:EF:50:98,
BA:1D:05:15:99:35, 2023-08-08 09:26:55, 2023-08-08 09:26:55, -44,        2, (not associated) ,
26:B0:39:AD:07:B4, 2023-08-08 09:26:56, 2023-08-08 09:26:56, -44,        1, 00:25:00:FF:94:73,
14:13:33:E6:DA:A3, 2023-08-08 09:26:56, 2023-08-08 09:26:56, -44,        2, (not associated) ,
3A:68:8C:C3:03:CA, 2023-08-08 09:26:59, 2023-08-08 09:26:59, -44,        3, (not associated) ,
3A:54:6D:EC:81:4F, 2023-08-08 09:27:00, 2023-08-08 09:27:10, -44,        5, 00:25:00:FF:94:73,
7E:B2:2B:06:9B:36, 2023-08-08 09:27:04, 2023-08-08 09:27:04, -44,        1, (not associated) ,
DA:A1:19:11:7B:2E, 2023-08-08 09:27:06, 2023-08-08 09:27:06, -44,        1, (not associated) ,
FA:57:52:31:2F:6D, 2023-08-08 09:27:11, 2023-08-08 09:27:11, -44,       25, 06:82:3D:43:6B:E7,
00:45:E2:A8:2D:A7, 2023-08-08 09:27:11, 2023-08-08 09:27:12, -44,        5, (not associated) ,
D8:C0:A6:E2:79:DB, 2023-08-08 09:26:49, 2023-08-08 09:27:16, -44,       24, 06:82:3D:43:43:C1,
14:13:33:02:3B:27, 2023-08-08 09:27:13, 2023-08-08 09:27:13, -44,        1, (not associated) ,
EC:2E:98:62:AE:85, 2023-08-08 09:27:14, 2023-08-08 09:27:14, -44,       15, 06:82:3D:43:65:09,
