
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C4:6E:1F:63:51:0C, 2023-08-04 14:18:10, 2023-08-04 14:18:10,  1, 270, OPN, ,   , -76,        1,        0,   0.  0.  0.  0,   6, EXG-16, 
A0:AB:1B:6E:8D:A0, 2023-08-04 14:18:10, 2023-08-04 14:18:14,  1, 130, WPA, CCMP TKIP, PSK, -76,        2,        0,   0.  0.  0.  0,   9, ELX-STAFF, 
C4:6E:1F:63:3D:14, 2023-08-04 14:18:10, 2023-08-04 14:18:16,  7, 270, WPA2, CCMP, PSK, -76,        5,        0,   0.  0.  0.  0,  14, CSESTAFF-EXS19, 
C6:CD:43:B1:AA:18, 2023-08-04 14:18:12, 2023-08-04 14:18:12,  5, 180, WPA2, CCMP, PSK, -75,        2,        0,   0.  0.  0.  0,  25, OnePlus Nord CE 3 Lite 5G, 
00:11:74:B9:EC:21, 2023-08-04 14:18:12, 2023-08-04 14:18:16,  6, 195, WPA2, CCMP, MGT, -75,        6,        0,   0.  0.  0.  0,  13, JioPrivateNet, 
00:11:74:B9:F1:41, 2023-08-04 14:18:12, 2023-08-04 14:18:16, 11, 195, WPA2, CCMP, MGT, -76,        4,        0,   0.  0.  0.  0,  13, JioPrivateNet, 
18:0F:76:35:3F:58, 2023-08-04 14:18:13, 2023-08-04 14:18:16, 11, 130, WPA, CCMP TKIP, PSK, -76,        5,        0,   0.  0.  0.  0,  10, EXS-8-9-10, 
18:0F:76:35:4F:68, 2023-08-04 14:18:13, 2023-08-04 14:18:16, 11, 130, WPA, CCMP TKIP, PSK, -75,        6,        6,   0.  0.  0.  0,   6, SF-3-4, 
C4:6E:1F:63:3B:FE, 2023-08-04 14:18:13, 2023-08-04 14:18:13, 11, 270, , CCMP TKIP, PSK, -75,        1,        0,   0.  0.  0.  0,   3, TPO, 
C4:A8:1D:93:84:C0, 2023-08-04 14:18:13, 2023-08-04 14:18:13, 11, 130, OPN, ,   , -75,        1,        0,   0.  0.  0.  0,   7, MWSLAB1, 
00:11:74:B9:ED:21, 2023-08-04 14:18:13, 2023-08-04 14:18:13,  6, 195, WPA2, CCMP, MGT, -75,        1,        0,   0.  0.  0.  0,  13, JioPrivateNet, 
DC:A6:32:CB:D7:7D, 2023-08-04 14:18:13, 2023-08-04 14:18:16,  6,  65, WPA2, CCMP, PSK, -75,        4,        0,   0.  0.  0.  0,  10, DEFAULT_FR, 
00:11:74:B9:EC:20, 2023-08-04 14:18:12, 2023-08-04 14:18:17,  6, 195, OPN, ,   , -74,        8,        0,   0.  0.  0.  0,  10, JioNet@BIT, 
00:11:74:B9:F1:40, 2023-08-04 14:18:12, 2023-08-04 14:18:16, 11, 195, OPN, ,   , -75,        6,        0,   0.  0.  0.  0,  10, JioNet@BIT, 
00:11:74:B9:ED:41, 2023-08-04 14:18:10, 2023-08-04 14:18:17, 11, 195, WPA2, CCMP, MGT, -74,       11,        0,   0.  0.  0.  0,  13, JioPrivateNet, 
00:11:74:B9:ED:40, 2023-08-04 14:18:10, 2023-08-04 14:18:17, 11, 195, OPN, ,   , -73,       11,        0,   0.  0.  0.  0,  10, JioNet@BIT, 
34:0A:33:37:8F:20, 2023-08-04 14:18:10, 2023-08-04 14:18:16,  6, 130, OPN, ,   , -73,        6,        0,   0.  0.  0.  0,   7, EXG-1-2, 
C4:6E:1F:63:3A:7C, 2023-08-04 14:18:11, 2023-08-04 14:18:16,  4, 270, OPN, ,   , -68,       13,        0,   0.  0.  0.  0,   5, EXG-8, 
C4:6E:1F:63:3D:12, 2023-08-04 14:18:10, 2023-08-04 14:18:16,  5, 270, WPA2, CCMP, PSK, -20,       14,        2,   0.  0.  0.  0,  14, TP-LINK_633D12, 
C4:6E:1F:63:5B:8E, 2023-08-04 14:18:11, 2023-08-04 14:18:15,  3, 270, OPN, ,   , -61,        8,        5, 192.168.  0.  1,   7, EXG-3-4, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
14:4F:8A:65:F7:E3, 2023-08-04 14:18:14, 2023-08-04 14:18:14, -77,        1, A0:AB:1B:6E:8D:A0,
16:B8:D8:A3:8C:85, 2023-08-04 14:18:11, 2023-08-04 14:18:12, -76,        3, (not associated) ,
00:6F:64:76:11:CB, 2023-08-04 14:18:14, 2023-08-04 14:18:14, -76,        1, (not associated) ,EXG-16
70:BB:E9:28:55:7A, 2023-08-04 14:18:11, 2023-08-04 14:18:15, -63,       13, C4:6E:1F:63:5B:8E,pxag3080
E2:21:A9:B4:3D:A4, 2023-08-04 14:18:12, 2023-08-04 14:18:16, -50,        7, C4:6E:1F:63:3D:12,
C8:E2:65:CD:F8:DE, 2023-08-04 14:18:11, 2023-08-04 14:18:11, -26,        1, C4:6E:1F:63:5B:8E,
56:0E:47:DE:7A:DF, 2023-08-04 14:18:16, 2023-08-04 14:18:16, -76,        1, C4:6E:1F:63:3D:12,

