
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
06:82:3D:43:47:39, 2023-08-08 18:20:26, 2023-08-08 18:20:26,  1, 360, WPA2 WPA, CCMP, PSK, -53,        1,        0,   0.  0.  0.  0,   5, AMCEC, 
B0:52:16:5B:D9:4D, 2023-08-08 18:20:28, 2023-08-08 18:20:28,  5, 135, WPA2, CCMP, PSK, -53,        1,        0,   0.  0.  0.  0,   4, Balu, 
9E:B7:8D:DB:FE:FD, 2023-08-08 18:20:25, 2023-08-08 18:20:38, 10, 180, WPA2, CCMP, PSK, -46,        0,        0,   0.  0.  0.  0,   5, Redmi, 
8E:E5:8A:FD:7D:09, 2023-08-08 18:20:28, 2023-08-08 18:20:39, 11, 180, WPA3 WPA2, CCMP, SAE PSK, -52,        7,        7,   0.  0.  0.  0,   3, sky, 
1E:C1:0C:44:B6:D2, 2023-08-08 18:20:26, 2023-08-08 18:20:36,  1,  65, WPA2, CCMP, PSK, -50,        5,        0,   0.  0.  0.  0,  23, DIRECT-GYPRODUCTIONmsoB, 
A2:61:93:C9:DF:E5, 2023-08-08 18:20:28, 2023-08-08 18:20:39,  6,  65, WPA2, CCMP, PSK, -33,       13,        0,   0.  0.  0.  0,   6, Vishal, 
1A:7B:33:BF:B8:02, 2023-08-08 18:20:25, 2023-08-08 18:20:39, 11, 360, WPA2, CCMP, PSK, -47,        7,        1,   0.  0.  0.  0,   8, vivo V27, 
C2:C7:36:64:A1:6D, 2023-08-08 18:20:28, 2023-08-08 18:20:40,  6, 180, WPA2, CCMP, PSK, -36,        5,       15,   0.  0.  0.  0,  25, Harshad's Galaxy A52s 5G3, 
06:82:3D:43:43:C1, 2023-08-08 18:20:26, 2023-08-08 18:20:40,  1, 360, WPA2 WPA, CCMP, PSK, -43,       12,        4,   0.  0.  0.  0,   5, AMCEC, 
12:83:64:39:DB:5C, 2023-08-08 18:20:28, 2023-08-08 18:20:38, 10, 180, WPA2, CCMP, PSK, -50,        8,        2,   0.  0.  0.  0,   8, OPPO F15, 
06:82:3D:43:6B:E7, 2023-08-08 18:20:25, 2023-08-08 18:20:40,  1, 360, WPA2 WPA, CCMP, PSK, -40,       12,       47,   0.  0.  0.  0,   5, AMCEC, 
06:82:3D:43:65:09, 2023-08-08 18:20:25, 2023-08-08 18:20:40,  1, 360, WPA2 WPA, CCMP, PSK, -36,        8,      129,   0.  0.  0.  0,   5, AMCEC, 
C4:6E:1F:63:3D:12, 2023-08-08 18:20:25, 2023-08-08 18:20:40,  1, 270, WPA2, CCMP, PSK, -29,       12,      245,   0.  0.  0.  0,  14, TP-LINK_633D12, 
06:82:3D:43:42:9B, 2023-08-08 18:20:25, 2023-08-08 18:20:40,  1, 360, WPA2 WPA, CCMP, PSK, -26,       12,       43,   0.  0.  0.  0,   5, AMCEC, 
50:6F:9A:01:8D:3E, 2023-08-08 18:20:32, 2023-08-08 18:20:32, -1,  -1, OPN, ,   ,  -1,        3,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
16:E7:BD:76:31:92, 2023-08-08 18:20:36, 2023-08-08 18:20:36, -55,        6, (not associated) ,
F2:20:43:6F:BB:A5, 2023-08-08 18:20:29, 2023-08-08 18:20:29, -54,        1, (not associated) ,
DC:B7:2E:51:D7:54, 2023-08-08 18:20:30, 2023-08-08 18:20:40, -51,        7, 06:82:3D:43:42:9B,
A6:4E:76:25:49:FE, 2023-08-08 18:20:35, 2023-08-08 18:20:36, -54,        4, (not associated) ,ramesh
4A:89:F0:31:F2:8E, 2023-08-08 18:20:36, 2023-08-08 18:20:36, -54,        1, (not associated) ,
FA:1E:47:01:3F:BE, 2023-08-08 18:20:29, 2023-08-08 18:20:29, -53,        1, (not associated) ,
22:25:E4:24:E4:31, 2023-08-08 18:20:34, 2023-08-08 18:20:34, -53,        2, (not associated) ,
36:53:CD:B6:71:EA, 2023-08-08 18:20:30, 2023-08-08 18:20:30, -52,        1, (not associated) ,
96:BC:92:7D:50:40, 2023-08-08 18:20:32, 2023-08-08 18:20:32, -52,        1, (not associated) ,
72:0D:63:B9:C7:27, 2023-08-08 18:20:32, 2023-08-08 18:20:32, -52,       14, (not associated) ,Euphoria,VIT-BP 443,arti 5g,Khushi jio 3rd,VITBPL,ShadowLAN 2_5G
FA:E1:D9:6E:0E:A1, 2023-08-08 18:20:32, 2023-08-08 18:20:32, -52,        1, (not associated) ,
5E:89:17:86:AF:9D, 2023-08-08 18:20:32, 2023-08-08 18:20:32, -52,        1, (not associated) ,AndroidShare_9807
DA:A1:19:D5:17:77, 2023-08-08 18:20:35, 2023-08-08 18:20:35, -52,        5, (not associated) ,
C8:89:F3:ED:16:C6, 2023-08-08 18:20:29, 2023-08-08 18:20:29, -51,        5, 06:82:3D:43:6B:E7,
1C:C1:0C:44:B6:D2, 2023-08-08 18:20:30, 2023-08-08 18:20:30, -51,        1, 06:82:3D:43:42:9B,
DC:41:A9:5D:DA:68, 2023-08-08 18:20:36, 2023-08-08 18:20:36, -51,        1, (not associated) ,AMCEC
EC:2E:98:62:AE:85, 2023-08-08 18:20:26, 2023-08-08 18:20:26, -50,        6, 06:82:3D:43:65:09,
D0:C5:D3:E9:B8:7F, 2023-08-08 18:20:28, 2023-08-08 18:20:35, -50,        7, 8E:E5:8A:FD:7D:09,
52:D6:BF:D6:98:BA, 2023-08-08 18:20:34, 2023-08-08 18:20:35, -50,        5, (not associated) ,
4C:EB:BD:C8:F0:B9, 2023-08-08 18:20:25, 2023-08-08 18:20:40, -51,       67, 06:82:3D:43:65:09,
6C:94:66:BA:E8:20, 2023-08-08 18:20:36, 2023-08-08 18:20:36, -49,        3, 06:82:3D:43:65:09,
BC:6E:E2:24:63:41, 2023-08-08 18:20:29, 2023-08-08 18:20:40, -52,       35, 06:82:3D:43:65:09,
04:C8:07:23:1C:4C, 2023-08-08 18:20:28, 2023-08-08 18:20:35, -48,        5, 12:83:64:39:DB:5C,
A8:6D:AA:2B:2A:3C, 2023-08-08 18:20:28, 2023-08-08 18:20:39, -48,       14, C2:C7:36:64:A1:6D,
