
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
38:94:E0:CC:F3:60, 2023-08-04 02:17:15, 2023-08-04 02:17:22,  9, 130, WPA2, CCMP, PSK, -68,        8,        3,   0.  0.  0.  0,   9, Sai Sanil, 
BC:22:28:42:21:D0, 2023-08-04 02:17:13, 2023-08-04 02:17:21,  6, 270, WPA2, CCMP TKIP, PSK, -68,       21,      170,   0.  0.  0.  0,  10, dlink-21D0, 
8C:A3:99:29:25:E9, 2023-08-04 02:17:13, 2023-08-04 02:17:13, 157, 866, WPA2, CCMP, PSK, -66,        3,        0,   0.  0.  0.  0,  17, JioFiber-Hduud_5G, 
8C:A3:99:29:25:E8, 2023-08-04 02:17:15, 2023-08-04 02:17:20, 11, 130, WPA2, CCMP, PSK, -59,       13,        0,   0.  0.  0.  0,  14, JioFiber-Hduud, 
A8:DA:0C:D2:00:FA, 2023-08-04 02:17:19, 2023-08-04 02:17:19,  6, 130, WPA2, CCMP, PSK, -68,        1,        0,   0.  0.  0.  0,  14, JioFiber-gq2TS, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
6A:B4:6A:45:FA:9E, 2023-08-04 02:17:13, 2023-08-04 02:17:13, -68,        2, BC:22:28:42:21:D0,
16:58:96:1A:5B:AA, 2023-08-04 02:17:13, 2023-08-04 02:17:21, -41,      199, BC:22:28:42:21:D0,
80:9F:9B:5A:B7:8D, 2023-08-04 02:17:15, 2023-08-04 02:17:22, -68,       17, 38:94:E0:CC:F3:60,Sai Sanil

